1 	 0.2733 	 500 	 38
2 	 0.2867 	 500 	 41
3 	 0.2947 	 500 	 44
4 	 0.3080 	 500 	 46
5 	 0.3213 	 500 	 49
6 	 0.3293 	 500 	 52
7 	 0.3427 	 500 	 54
8 	 0.3560 	 500 	 57
9 	 0.3640 	 500 	 60
10 	 0.3773 	 500 	 62
12 	 0.3907 	 500 	 68
13 	 0.3987 	 500 	 70
15 	 0.4120 	 500 	 76
19 	 0.4413 	 500 	 86
21 	 0.4547 	 500 	 92
28 	 0.5107 	 500 	 110
31 	 0.5293 	 500 	 118
33 	 0.5427 	 500 	 124
34 	 0.5453 	 500 	 126
35 	 0.5533 	 500 	 129
36 	 0.5560 	 500 	 132
39 	 0.5747 	 500 	 140
40 	 0.5773 	 500 	 142
43 	 0.5960 	 500 	 150
45 	 0.6093 	 500 	 156
47 	 0.6227 	 500 	 161
48 	 0.6307 	 500 	 164
49 	 0.6387 	 500 	 166
51 	 0.6520 	 500 	 172
52 	 0.6547 	 500 	 174
55 	 0.6787 	 500 	 182
57 	 0.6920 	 500 	 188
59 	 0.7053 	 500 	 193
61 	 0.7187 	 500 	 198
62 	 0.7267 	 500 	 201
63 	 0.7293 	 500 	 204
64 	 0.7373 	 500 	 206
65 	 0.7453 	 500 	 209
66 	 0.7480 	 500 	 212
68 	 0.7613 	 500 	 217
69 	 0.7640 	 500 	 220
70 	 0.7720 	 500 	 223
72 	 0.7853 	 500 	 228
75 	 0.8093 	 500 	 236
78 	 0.8333 	 500 	 244
79 	 0.8413 	 500 	 247
81 	 0.8547 	 500 	 252
82 	 0.8627 	 500 	 255
84 	 0.8760 	 500 	 260
87 	 0.8947 	 500 	 268
90 	 0.9133 	 500 	 276
91 	 0.9213 	 500 	 279
93 	 0.9347 	 500 	 284
97 	 0.9640 	 500 	 295
99 	 0.9773 	 500 	 300
102 	 0.9960 	 500 	 308
103 	 1.0040 	 500 	 311
105 	 1.0173 	 500 	 316
108 	 1.0360 	 500 	 324
111 	 1.0547 	 500 	 332
115 	 1.0840 	 500 	 343
117 	 1.0973 	 500 	 348
121 	 1.1267 	 500 	 359
123 	 1.1400 	 500 	 364
126 	 1.1587 	 500 	 372
129 	 1.1773 	 500 	 380
133 	 1.2067 	 500 	 391
135 	 1.2147 	 500 	 396
136 	 1.2227 	 500 	 399
137 	 1.2307 	 500 	 401
138 	 1.2333 	 500 	 404
140 	 1.2467 	 500 	 409
141 	 1.2493 	 500 	 412
145 	 1.2787 	 500 	 423
147 	 1.2867 	 500 	 428
148 	 1.2947 	 500 	 431
149 	 1.3027 	 500 	 433
