time	latency
0.0	43.0
0.1	43.285714285714285
0.2	58.333333333333336
0.3	85.3913043478261
0.4	94.55
0.5	93.0909090909091
0.6	92.16666666666667
0.7	93.25
0.8	94.9090909090909
0.9	95.84210526315789
1.0	95.1
1.1	94.54545454545455
1.2	94.80952380952381
1.3	92.61904761904762
1.4	92.16666666666667
1.5	92.04761904761905
1.6	92.16666666666667
1.7	92.04761904761905
1.8	92.16666666666667
1.9	92.13636363636364
2.0	92.08695652173913
2.1	92.13636363636364
2.2	92.08695652173913
2.3	92.04761904761905
2.4	92.16666666666667
2.5	92.13636363636364
2.6	93.95
2.7	93.5909090909091
2.8	93.0
2.9	94.0
3.0	94.47619047619048
3.1	93.43478260869566
3.2	93.86363636363636
3.3	93.0
3.4	93.5
3.5	93.43478260869566
3.6	93.72727272727273
3.7	93.14285714285714
3.8	93.0
3.9	93.0
4.0	93.0
4.1	93.0
4.2	93.0
4.3	93.04545454545455
4.4	84.55
4.5	48.76923076923077
