time	latency
0.0	43.0
0.1	43.285714285714285
0.2	58.333333333333336
0.3	87.91304347826087
0.4	120.54545454545455
0.5	130.66666666666666
0.6	121.1304347826087
0.7	120.28
0.8	118.0
0.9	124.63636363636364
1.0	127.4090909090909
1.1	128.52380952380952
1.2	126.5
1.3	120.72727272727273
1.4	117.5
1.5	118.78260869565217
1.6	118.48
1.7	120.22727272727273
1.8	122.16666666666667
1.9	118.45454545454545
2.0	123.45833333333333
2.1	121.61904761904762
2.2	124.91304347826087
2.3	114.6
2.4	115.78260869565217
2.5	121.875
2.6	118.54545454545455
2.7	124.9090909090909
2.8	129.22727272727272
2.9	130.7
3.0	129.27272727272728
3.1	126.04347826086956
3.2	123.95238095238095
3.3	130.14285714285714
3.4	126.17391304347827
3.5	130.57142857142858
3.6	130.38095238095238
3.7	129.0
3.8	124.52173913043478
3.9	126.18181818181819
4.0	129.28571428571428
4.1	125.63636363636364
4.2	132.04761904761904
4.3	129.76190476190476
4.4	129.14285714285714
4.5	138.94736842105263
4.6	125.63636363636364
