0.2000 0.2733 0.0733 1
0.2067 0.2867 0.08 2
0.2133 0.2947 0.0814 3
0.2200 0.3080 0.088 4
0.2267 0.3213 0.0946 5
0.2333 0.3293 0.096 6
0.2400 0.3427 0.1027 7
0.2467 0.3560 0.1093 8
0.2533 0.3640 0.1107 9
0.2600 0.3773 0.1173 10
0.2733 0.3907 0.1174 12
0.2800 0.3987 0.1187 13
0.2933 0.4120 0.1187 15
0.3200 0.4413 0.1213 19
0.3333 0.4547 0.1214 21
0.3800 0.5107 0.1307 28
0.4000 0.5293 0.1293 31
0.4133 0.5427 0.1294 33
0.4200 0.5453 0.1253 34
0.4267 0.5533 0.1266 35
0.4333 0.5560 0.1227 36
0.4533 0.5747 0.1214 39
0.4600 0.5773 0.1173 40
0.4800 0.5960 0.116 43
0.4933 0.6093 0.116 45
0.5067 0.6227 0.116 47
0.5133 0.6307 0.1174 48
0.5200 0.6387 0.1187 49
0.5333 0.6520 0.1187 51
0.5400 0.6547 0.1147 52
0.5600 0.6787 0.1187 55
0.5733 0.6920 0.1187 57
0.5867 0.7053 0.1186 59
0.6000 0.7187 0.1187 61
0.6067 0.7267 0.12 62
0.6133 0.7293 0.116 63
0.6200 0.7373 0.1173 64
0.6267 0.7453 0.1186 65
0.6333 0.7480 0.1147 66
0.6467 0.7613 0.1146 68
0.6533 0.7640 0.1107 69
0.6600 0.7720 0.112 70
0.6733 0.7853 0.112 72
0.6933 0.8093 0.116 75
0.7133 0.8333 0.12 78
0.7200 0.8413 0.1213 79
0.7333 0.8547 0.1214 81
0.7400 0.8627 0.1227 82
0.7533 0.8760 0.1227 84
0.7733 0.8947 0.1214 87
0.7933 0.9133 0.12 90
0.8000 0.9213 0.1213 91
0.8133 0.9347 0.1214 93
0.8400 0.9640 0.124 97
0.8533 0.9773 0.124 99
0.8733 0.9960 0.1227 102
0.8800 1.0040 0.124 103
0.8933 1.0173 0.124 105
0.9133 1.0360 0.1227 108
0.9333 1.0547 0.1214 111
0.9600 1.0840 0.124 115
0.9733 1.0973 0.124 117
1.0000 1.1267 0.1267 121
1.0133 1.1400 0.1267 123
1.0333 1.1587 0.1254 126
1.0533 1.1773 0.124 129
1.0800 1.2067 0.1267 133
1.0933 1.2147 0.1214 135
1.1000 1.2227 0.1227 136
1.1067 1.2307 0.124 137
1.1133 1.2333 0.12 138
1.1267 1.2467 0.12 140
1.1333 1.2493 0.116 141
1.1600 1.2787 0.1187 145
1.1733 1.2867 0.1134 147
1.1800 1.2947 0.1147 148
1.1867 1.3027 0.116 149
1.2000 1.3160 0.116 151
1.2133 1.3293 0.116 153
1.2267 1.3480 0.1213 155
1.2333 1.3507 0.1174 156
1.2467 1.3640 0.1173 158
1.2533 1.3667 0.1134 159
1.2600 1.3747 0.1147 160
1.2667 1.3827 0.116 161
1.2800 1.3960 0.116 163
1.2933 1.4093 0.116 165
1.3067 1.4227 0.116 167
1.3133 1.4253 0.112 168
1.3200 1.4333 0.1133 169
1.3333 1.4467 0.1134 171
1.3400 1.4547 0.1147 172
1.3467 1.4627 0.116 173
1.3600 1.4760 0.116 175
1.3733 1.4893 0.116 177
1.3867 1.5027 0.116 179
1.3933 1.5107 0.1174 180
1.4000 1.5187 0.1187 181
1.4133 1.5267 0.1134 183
1.4200 1.5347 0.1147 184
1.4267 1.5427 0.116 185
1.4400 1.5560 0.116 187
1.4533 1.5693 0.116 189
1.4667 1.5827 0.116 191
1.4800 1.5960 0.116 193
1.4867 1.6040 0.1173 194
1.4933 1.6067 0.1134 195
1.5000 1.6147 0.1147 196
1.5067 1.6227 0.116 197
1.5200 1.6360 0.116 199
1.5333 1.6493 0.116 1
1.5467 1.6627 0.116 3
1.5600 1.6760 0.116 5
1.5733 1.6893 0.116 7
1.5800 1.6973 0.1173 8
1.5867 1.7053 0.1186 9
1.6000 1.7187 0.1187 11
1.6133 1.7320 0.1187 13
1.6267 1.7453 0.1186 15
1.6400 1.7587 0.1187 17
1.6533 1.7720 0.1187 19
1.6733 1.7960 0.1227 22
1.6867 1.8093 0.1226 24
1.6933 1.8120 0.1187 25
1.7000 1.8200 0.12 26
1.7133 1.8333 0.12 28
1.7267 1.8467 0.12 30
1.7333 1.8493 0.116 31
1.7400 1.8573 0.1173 32
1.7600 1.8760 0.116 35
1.7733 1.8893 0.116 37
1.7800 1.8973 0.1173 38
1.7867 1.9053 0.1186 39
1.7933 1.9080 0.1147 40
1.8000 1.9160 0.116 41
1.8133 1.9240 0.1107 43
1.8400 1.9587 0.1187 47
1.8533 1.9720 0.1187 49
1.8733 1.9960 0.1227 52
1.8800 2.0040 0.124 53
1.8933 2.0173 0.124 55
1.9067 2.0307 0.124 57
1.9133 2.0333 0.12 58
1.9267 2.0467 0.12 60
1.9333 2.0493 0.116 61
1.9400 2.0573 0.1173 62
1.9600 2.0760 0.116 65
1.9733 2.0893 0.116 67
2.0000 2.1187 0.1187 71
2.0133 2.1320 0.1187 73
2.0400 2.1667 0.1267 77
2.0533 2.1800 0.1267 79
2.0667 2.1933 0.1266 81
2.0733 2.1960 0.1227 82
2.0867 2.2093 0.1226 84
2.0933 2.2120 0.1187 85
2.1000 2.2200 0.12 86
2.1200 2.2387 0.1187 89
2.1333 2.2467 0.1134 91
2.1400 2.2547 0.1147 92
2.1467 2.2627 0.116 93
2.1533 2.2653 0.112 94
2.1600 2.2733 0.1133 95
2.1733 2.2867 0.1134 97
2.1800 2.2947 0.1147 98
2.1867 2.3027 0.116 99
2.1933 2.3053 0.112 100
2.2067 2.3187 0.112 102
2.2133 2.3213 0.108 103
2.2200 2.3293 0.1093 104
2.2267 2.3373 0.1106 105
2.2333 2.3453 0.112 106
2.2400 2.3533 0.1133 107
2.2533 2.3613 0.108 109
2.2600 2.3693 0.1093 110
2.2667 2.3773 0.1106 111
2.2733 2.3853 0.112 112
2.2867 2.3987 0.112 114
2.2933 2.4067 0.1134 115
2.3133 2.4307 0.1174 118
2.3200 2.4387 0.1187 119
2.3333 2.4520 0.1187 121
2.3533 2.4760 0.1227 124
2.3667 2.4893 0.1226 126
2.3733 2.4920 0.1187 127
2.3800 2.5000 0.12 128
2.4000 2.5187 0.1187 131
2.4067 2.5267 0.12 132
2.4133 2.5293 0.116 133
2.4200 2.5373 0.1173 134
2.4400 2.5560 0.116 137
2.4533 2.5693 0.116 139
2.4600 2.5773 0.1173 140
2.4667 2.5853 0.1186 141
2.4733 2.5880 0.1147 142
2.4867 2.6013 0.1146 144
2.4933 2.6040 0.1107 145
2.5200 2.6387 0.1187 149
2.5333 2.6520 0.1187 151
2.5533 2.6760 0.1227 154
2.5600 2.6840 0.124 155
2.5733 2.6973 0.124 157
2.5867 2.7107 0.124 159
2.5933 2.7133 0.12 160
2.6200 2.7427 0.1227 164
2.6400 2.7613 0.1213 167
2.6533 2.7747 0.1214 169
2.6800 2.8093 0.1293 173
2.7200 2.8493 0.1293 179
2.7333 2.8627 0.1294 181
2.7533 2.8813 0.128 184
2.7733 2.9000 0.1267 187
2.7933 2.9187 0.1254 190
2.8133 2.9373 0.124 193
2.8400 2.9667 0.1267 197
2.8533 2.9800 0.1267 199
2.8667 2.9933 0.1266 1
2.8733 2.9960 0.1227 2
2.9200 3.0467 0.1267 9
2.9333 3.0600 0.1267 11
2.9467 3.0733 0.1266 13
2.9533 3.0760 0.1227 14
2.9600 3.0840 0.124 15
2.9733 3.0973 0.124 17
3.0000 3.1213 0.1213 21
3.0133 3.1347 0.1214 23
3.0267 3.1480 0.1213 25
3.0333 3.1507 0.1174 26
3.0400 3.1587 0.1187 27
3.0533 3.1720 0.1187 29
3.0800 3.2013 0.1213 33
3.0933 3.2147 0.1214 35
3.1133 3.2333 0.12 38
3.1400 3.2680 0.128 42
3.1600 3.2867 0.1267 45
3.1733 3.3000 0.1267 47
3.1933 3.3187 0.1254 50
3.2000 3.3267 0.1267 51
3.2333 3.3560 0.1227 56
3.2400 3.3640 0.124 57
3.2533 3.3773 0.124 59
3.2667 3.3907 0.124 61
3.2733 3.3933 0.12 62
3.2933 3.4173 0.124 65
3.3200 3.4413 0.1213 69
3.3333 3.4547 0.1214 71
3.3600 3.4893 0.1293 75
3.4000 3.5293 0.1293 81
3.4133 3.5427 0.1294 83
3.4333 3.5613 0.128 86
3.4533 3.5800 0.1267 89
3.4733 3.5987 0.1254 92
3.4933 3.6173 0.124 95
3.5200 3.6467 0.1267 99
3.5333 3.6600 0.1267 101
3.5467 3.6733 0.1266 103
3.5533 3.6760 0.1227 104
3.6000 3.7267 0.1267 111
3.6133 3.7400 0.1267 113
3.6267 3.7533 0.1266 115
3.6333 3.7560 0.1227 116
3.6400 3.7640 0.124 117
3.6533 3.7773 0.124 119
3.6800 3.8013 0.1213 123
3.6933 3.8147 0.1214 125
3.7067 3.8280 0.1213 127
3.7133 3.8307 0.1174 128
3.7200 3.8387 0.1187 129
3.7333 3.8520 0.1187 131
3.7600 3.8813 0.1213 135
3.7733 3.8947 0.1214 137
3.7933 3.9133 0.12 140
3.8200 3.9480 0.128 144
3.8400 3.9667 0.1267 147
3.8533 3.9800 0.1267 149
3.8733 3.9987 0.1254 152
3.8800 4.0067 0.1267 153
3.9133 4.0360 0.1227 158
3.9200 4.0440 0.124 159
3.9333 4.0573 0.124 161
3.9467 4.0707 0.124 163
3.9533 4.0733 0.12 164
3.9733 4.0973 0.124 167
4.0000 4.1213 0.1213 171
4.0133 4.1347 0.1214 173
4.0400 4.1693 0.1293 177
4.0800 4.2093 0.1293 183
4.0933 4.2227 0.1294 185
4.1133 4.2413 0.128 188
4.1333 4.2600 0.1267 191
4.1533 4.2787 0.1254 194
4.1733 4.2973 0.124 197
4.2000 4.3267 0.1267 1
4.2133 4.3400 0.1267 3
4.2267 4.3533 0.1266 5
4.2333 4.3560 0.1227 6
4.2800 4.4067 0.1267 13
4.2933 4.4200 0.1267 15
