1 	 0.2733 	 500 	 38
2 	 0.2867 	 500 	 41
3 	 0.2947 	 500 	 44
4 	 0.3080 	 500 	 46
6 	 0.3213 	 500 	 52
7 	 0.3293 	 500 	 54
9 	 0.3427 	 500 	 60
12 	 0.3613 	 500 	 68
13 	 0.3693 	 500 	 70
15 	 0.3827 	 500 	 76
19 	 0.4120 	 500 	 86
25 	 0.4520 	 500 	 102
28 	 0.4707 	 500 	 110
31 	 0.4893 	 500 	 118
33 	 0.5027 	 500 	 124
34 	 0.5107 	 500 	 126
37 	 0.5293 	 500 	 134
39 	 0.5427 	 500 	 140
41 	 0.5560 	 500 	 145
43 	 0.5693 	 500 	 150
45 	 0.5827 	 500 	 156
47 	 0.5960 	 500 	 161
49 	 0.6093 	 500 	 166
51 	 0.6227 	 500 	 172
53 	 0.6360 	 500 	 177
55 	 0.6493 	 500 	 182
57 	 0.6627 	 500 	 188
59 	 0.6760 	 500 	 193
61 	 0.6893 	 500 	 198
63 	 0.7027 	 500 	 204
69 	 0.7427 	 500 	 220
73 	 0.7720 	 500 	 231
79 	 0.8120 	 500 	 247
82 	 0.8307 	 500 	 255
85 	 0.8493 	 500 	 263
96 	 0.9213 	 500 	 292
99 	 0.9453 	 500 	 300
103 	 0.9693 	 500 	 311
105 	 0.9827 	 500 	 316
108 	 1.0013 	 500 	 324
115 	 1.0520 	 500 	 343
117 	 1.0653 	 500 	 348
121 	 1.0893 	 500 	 359
126 	 1.1240 	 500 	 372
129 	 1.1427 	 500 	 380
132 	 1.1613 	 500 	 388
139 	 1.2120 	 500 	 407
141 	 1.2253 	 500 	 412
145 	 1.2493 	 500 	 423
147 	 1.2627 	 500 	 428
148 	 1.2707 	 500 	 431
150 	 1.2840 	 500 	 436
153 	 1.3027 	 500 	 444
155 	 1.3160 	 500 	 449
157 	 1.3293 	 500 	 454
159 	 1.3427 	 500 	 460
161 	 1.3560 	 500 	 465
163 	 1.3693 	 500 	 470
165 	 1.3827 	 500 	 476
167 	 1.3960 	 500 	 481
169 	 1.4093 	 500 	 486
171 	 1.4227 	 500 	 492
173 	 1.4360 	 500 	 497
175 	 1.4493 	 500 	 502
177 	 1.4627 	 500 	 508
179 	 1.4760 	 500 	 513
181 	 1.4893 	 500 	 518
183 	 1.5027 	 500 	 524
185 	 1.5160 	 500 	 529
187 	 1.5293 	 500 	 534
189 	 1.5427 	 500 	 540
191 	 1.5560 	 500 	 545
193 	 1.5693 	 500 	 550
195 	 1.5827 	 500 	 556
197 	 1.5960 	 500 	 561
199 	 1.6093 	 500 	 566
1 	 1.6227 	 500 	 572
