1 0.1611 40 1
2 0.2355 40 4
3 0.2410 40 5
4 0.3099 40 10
5 0.3154 40 11
6 0.3210 40 12
7 0.3265 40 13
8 0.3869 40 37
9 0.3951 40 40
10 0.4033 40 43
11 0.4115 40 46
12 0.4198 40 51
13 0.4280 40 56
14 0.4362 40 61
15 0.4444 40 66
16 0.4819 40 84
17 0.4902 40 87
18 0.4984 40 90
19 0.5066 40 94
20 0.5148 40 99
21 0.5230 40 104
22 0.5312 40 109
23 0.5394 40 114
24 0.5477 40 118
25 0.5532 40 120
27 0.5614 40 124
29 0.5696 40 128
31 0.5752 40 132
32 0.6021 40 141
33 0.6103 40 145
34 0.6185 40 148
36 0.6267 40 152
38 0.6349 40 155
40 0.6431 40 158
41 0.6513 40 161
42 0.6595 40 164
43 0.6678 40 167
44 0.6760 40 170
45 0.6815 40 172
46 0.7004 40 178
47 0.9749 40 249
48 1.0509 40 271
49 1.0591 40 274
50 1.1269 40 296
51 1.1351 40 299
52 1.1433 40 302
53 1.1515 40 305
54 1.2029 40 325
55 1.2111 40 328
56 1.2193 40 331
57 1.2302 40 334
58 1.2384 40 342
59 1.2466 40 347
60 1.2869 40 359
61 1.2951 40 362
62 1.3033 40 365
63 1.3115 40 368
64 1.3197 40 371
65 1.3279 40 374
66 1.3361 40 378
67 1.3923 40 398
68 1.4032 40 402
69 1.4141 40 405
70 1.4223 40 408
71 1.4305 40 412
72 1.4414 40 417
73 1.4843 40 434
74 1.4978 40 438
75 1.5114 40 443
76 1.5223 40 447
77 1.5305 40 451
78 1.5387 40 455
79 1.5496 40 459
80 1.5845 40 474
81 1.5980 40 478
82 1.6142 40 483
83 1.6278 40 489
84 1.6386 40 494
85 1.6495 40 498
86 1.6577 40 501
87 1.6659 40 505
88 1.6955 40 518
89 1.7117 40 524
90 1.7279 40 530
91 1.7415 40 534
92 1.7550 40 540
93 1.7659 40 544
94 1.7768 40 549
95 1.7877 40 554
97 1.8145 40 563
98 1.8307 40 570
99 1.8470 40 576
100 1.8605 40 580
101 1.8767 40 586
102 1.8903 40 591
103 1.9011 40 595
104 1.9120 40 599
105 1.9362 40 606
106 1.9525 40 612
107 1.9687 40 618
108 2.0142 40 633
109 2.0358 40 640
110 2.0520 40 646
111 2.0682 40 652
112 2.0764 40 655
113 2.1113 40 669
114 2.1302 40 674
115 2.1464 40 680
117 2.1679 40 688
118 2.1761 40 691
119 2.2030 40 701
120 2.2219 40 707
121 2.2381 40 713
122 2.2570 40 719
123 2.2679 40 723
124 2.2894 40 730
125 2.3314 40 744
126 2.3449 40 748
127 2.3638 40 755
128 2.4069 40 770
129 2.4205 40 774
130 2.4287 40 777
131 2.4449 40 783
132 2.4829 40 798
133 2.4965 40 802
134 2.5073 40 806
135 2.5155 40 810
136 2.5291 40 815
137 2.5613 40 828
138 2.5749 40 833
139 2.5884 40 837
140 2.5993 40 842
141 2.6128 40 847
142 2.6210 40 851
143 2.6453 40 860
144 2.6615 40 867
145 2.6750 40 872
146 2.6886 40 877
147 2.7021 40 882
148 2.7130 40 887
149 2.7212 40 891
150 2.7401 40 898
151 2.7563 40 905
152 2.7725 40 912
153 2.7861 40 916
154 2.8023 40 922
155 2.8131 40 927
156 2.8240 40 932
157 2.8429 40 939
158 2.8511 40 943
159 2.8647 40 948
160 2.8782 40 953
161 2.8944 40 960
162 2.9106 40 968
163 2.9215 40 971
164 2.9351 40 977
165 2.9539 40 984
166 2.9648 40 988
167 2.9730 40 992
168 2.9839 40 996
169 3.0001 40 1003
170 3.0163 40 1011
171 3.0326 40 1017
172 3.0434 40 1021
173 3.0570 40 1026
174 3.0759 40 1034
175 3.0867 40 1038
176 3.0976 40 1042
177 3.1085 40 1047
179 3.1247 40 1053
180 3.1409 40 1060
181 3.1545 40 1064
182 3.1680 40 1070
183 3.1816 40 1075
184 3.1978 40 1081
185 3.2113 40 1086
186 3.2222 40 1089
187 3.2331 40 1093
188 3.2493 40 1098
189 3.2655 40 1105
190 3.2791 40 1110
191 3.3299 40 1126
192 3.3408 40 1130
193 3.3544 40 1134
194 3.3706 40 1141
195 3.3868 40 1149
196 3.4243 40 1161
197 3.4352 40 1165
198 3.4434 40 1168
199 3.4570 40 1173
0 3.4732 40 1179
1 3.4867 40 1185
2 3.5163 40 1196
3 3.5298 40 1201
4 3.5407 40 1205
5 3.5543 40 1210
6 3.5625 40 1214
7 3.5734 40 1219
8 3.5896 40 1225
9 3.6138 40 1235
11 3.6353 40 1243
12 3.6515 40 1249
13 3.6624 40 1252
14 3.6706 40 1257
15 3.6789 40 1260
16 3.6924 40 1265
17 3.7139 40 1272
18 3.7355 40 1279
19 3.7517 40 1285
20 3.7653 40 1289
21 3.8028 40 1303
22 3.8217 40 1308
23 3.8379 40 1314
24 3.8514 40 1319
25 3.8810 40 1330
26 3.8972 40 1336
27 3.9161 40 1343
28 3.9243 40 1346
29 3.9352 40 1351
30 3.9594 40 1360
31 3.9756 40 1367
32 3.9945 40 1373
33 4.0054 40 1377
34 4.0189 40 1383
36 4.0405 40 1391
37 4.0567 40 1397
38 4.0755 40 1404
39 4.0864 40 1407
40 4.1026 40 1414
41 4.1215 40 1420
43 4.1511 40 1429
44 4.1959 40 1443
45 4.2269 40 1453
46 4.2709 40 1466
47 4.3029 40 1475
48 4.4255 40 1484
49 4.4999 40 1487
50 4.5054 40 1488
51   
