38 	 0.4600 	 500 	 83
40 	 0.4680 	 500 	 86
48 	 0.5000 	 500 	 100
50 	 0.5080 	 500 	 105
52 	 0.5160 	 500 	 110
54 	 0.5240 	 500 	 115
56 	 0.5320 	 500 	 119
58 	 0.5400 	 500 	 123
65 	 0.5680 	 500 	 137
67 	 0.5760 	 500 	 140
69 	 0.5840 	 500 	 144
70 	 0.5880 	 500 	 146
72 	 0.5960 	 500 	 149
74 	 0.6040 	 500 	 152
85 	 0.6480 	 500 	 170
152 	 0.9160 	 500 	 270
174 	 1.0040 	 500 	 307
183 	 1.0400 	 500 	 320
198 	 1.1000 	 500 	 344
180 	 1.8280 	 500 	 615
189 	 1.8640 	 500 	 628
197 	 1.8960 	 500 	 640
23 	 2.0000 	 500 	 683
37 	 2.8560 	 500 	 1001
51 	 2.9120 	 500 	 1023
55 	 2.9280 	 500 	 1029
73 	 3.0000 	 500 	 1060
85 	 3.0480 	 500 	 1078
104 	 3.1240 	 500 	 1107
93 	 3.8800 	 500 	 1389
95 	 3.8880 	 500 	 1392
110 	 3.9480 	 500 	 1414
122 	 3.9960 	 500 	 1435
128 	 4.0200 	 500 	 1445
146 	 4.0920 	 500 	 1473
162 	 4.1560 	 500 	 1499
